Timestamp,LeftBank,RightBank_1,RightBank_2
3/28/2024 23:29,68028,93472,
3/29/2024 0:29,69324,94836,
3/29/2024 1:29,68112,104950,
3/29/2024 2:29,69384,78902,
3/29/2024 3:29,68998,90713,
3/29/2024 4:29,72540,96825,
3/29/2024 5:29,74484,97673,
3/29/2024 6:29,72390,96129,
3/29/2024 7:29,72624,88034,
3/29/2024 8:29,72127,96398,
3/29/2024 9:29,73608,96311,
3/29/2024 10:29,73686,97186,
3/29/2024 11:29,72960,93643,
3/29/2024 12:29,71640,100502,
3/29/2024 13:29,70422,99828,
3/29/2024 14:29,68966,104796,
3/29/2024 15:29,76160,105755,
3/29/2024 16:29,74435,104647,
3/29/2024 17:29,75462,106097,
3/29/2024 18:29,61786,100925,
3/29/2024 19:29,63885,104850,
3/29/2024 20:29,71491,118344,
3/29/2024 21:29,69926,107601,
3/29/2024 22:29,69948,107208,
3/29/2024 23:29,70284,105692,
3/30/2024 0:29,70308,99778,
3/30/2024 1:29,67542,106345,
3/30/2024 2:29,71016,92135,
3/30/2024 3:29,67542,90387,
3/30/2024 4:29,78348,97606,
3/30/2024 5:29,72228,99888,
3/30/2024 6:29,71640,95384,
3/30/2024 7:29,71016,96224,
3/30/2024 8:29,77724,95743,
3/30/2024 9:29,82773,96678,
3/30/2024 10:29,76488,101063,
3/30/2024 11:29,73608,103250,
3/30/2024 12:29,20496,48372,
3/30/2024 13:29,6912,67982,
3/30/2024 14:29,68191,112670,
3/30/2024 15:29,72576,106652,
3/30/2024 16:29,75132,109059,
3/30/2024 17:29,77286,112031,
3/30/2024 18:29,78606,110518,
3/30/2024 19:29,75678,109590,
3/30/2024 20:29,75342,105631,
3/30/2024 21:29,66630,109652,
3/30/2024 22:29,76950,108166,
3/30/2024 23:29,74970,105493,
3/31/2024 0:29,72575,99245,
3/31/2024 1:29,77262,102568,
3/31/2024 2:29,73500,101468,
3/31/2024 3:29,71244,106934,
3/31/2024 4:29,74148,104772,
3/31/2024 5:29,77388,104305,
3/31/2024 6:29,74772,101141,
3/31/2024 7:29,76428,104099,
3/31/2024 8:29,77052,102097,
3/31/2024 9:29,84078,105150,
3/31/2024 10:29,76404,103918,
3/31/2024 11:29,77076,107670,
3/31/2024 12:29,74904,103738,
3/31/2024 13:29,72312,103896,
3/31/2024 14:29,75468,102756,
3/31/2024 15:29,73524,104788,
3/31/2024 16:29,71706,112400,
3/31/2024 17:29,74454,111216,
3/31/2024 18:29,74796,116503,
3/31/2024 19:29,77598,118290,
3/31/2024 20:29,61968,123446,
3/31/2024 21:29,69408,119210,
3/31/2024 22:29,66108,110234,
3/31/2024 23:29,77388,107614,
4/1/2024 0:29,74274,110262,
4/1/2024 1:29,76116,110294,
4/1/2024 2:29,73212,104223,
4/1/2024 3:29,72564,104935,
4/1/2024 4:29,73524,105382,
4/1/2024 5:29,73836,108560,
4/1/2024 6:29,74484,108471,
4/1/2024 7:29,74172,105572,
4/1/2024 8:29,71976,110081,
4/1/2024 9:29,74172,106603,
4/1/2024 10:29,74508,101095,
4/1/2024 11:29,73296,100979,
4/1/2024 12:29,74508,114019,
4/1/2024 13:29,70422,108368,
4/1/2024 14:29,74796,111918,
